Mon,Tue,Wed,Thu,Fri,Sat,Sun,listing_id
125.0,125.0,125.0,125.0,125.0,125.0,125.0,3605287.0
80.0,80.0,80.0,80.0,80.0,80.0,80.0,1901357.0
140.0,140.0,140.0,142.444444444,150.681818182,150.681818182,140.0,131886.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0,852784.0
250.0,250.0,250.0,250.0,250.0,250.0,250.0,2031752.0
68.0,68.0,68.0,68.0,68.0,68.0,68.0,13121.0
130.0,130.0,130.0,130.0,130.0,130.0,130.0,721748.0
50.0,50.0,50.0,50.0,50.0,50.0,50.0,4129623.0
119.0,119.0,119.0,119.0,119.0,119.0,119.0,1573724.0
170.0,170.0,170.0,170.0,170.0,170.0,170.0,3801952.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0,721762.0
169.0,169.0,169.0,170.132075472,229.0,227.653846154,169.0,3954150.0
289.0,289.0,289.0,289.0,289.0,289.0,289.0,3867499.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0,3736428.0
250.0,250.0,250.0,250.961538462,250.980392157,250.0,250.0,1639279.0
140.0,140.0,140.0,140.0,140.0,140.0,140.0,4678795.0
160.0,160.0,160.0,160.0,160.0,160.0,160.0,3474293.0
130.0,130.0,130.0,130.0,130.0,130.0,130.0,3801977.0
97.3333333333,97.3333333333,97.3333333333,97.3913043478,97.3333333333,97.3333333333,97.9545454545,3933059.0
140.0,140.0,140.0,140.0,140.0,140.0,140.0,3867525.0
126.960784314,125.0,125.0,125.0,126.960784314,126.960784314,126.960784314,4653958.0
800.0,800.0,800.0,800.0,800.0,800.0,800.0,2294663.0
156.078431373,156.078431373,156.666666667,156.666666667,158.823529412,158.823529412,156.078431373,787339.0
80.0,80.0,80.0,80.0,80.0,80.0,80.0,3605388.0
80.0,80.0,80.0,80.0,80.0,80.0,80.0,656281.0
89.7727272727,89.7727272727,89.7727272727,89.7727272727,88.4545454545,88.4545454545,88.9130434783,3790321.0
84.0,84.0,84.0,84.0,84.0,84.0,84.0,3605419.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0,787372.0
199.0,199.0,199.0,199.0,199.0,199.0,199.0,4391869.0
80.0,80.0,80.0,80.0,89.7115384615,89.7115384615,80.0,852936.0
126.842105263,126.842105263,126.842105263,126.842105263,126.666666667,126.666666667,126.842105263,1180618.0
228.32,228.32,228.469387755,227.9,229.0625,229.0625,228.897959184,3933136.0
200.0,200.0,200.0,200.0,200.0,200.0,200.0,4719582.0
180.0,180.0,180.0,180.0,180.0,180.0,180.0,1377256.0
95.0,95.0,95.0,95.0,110.0,110.0,95.0,2967861.0
225.0,225.0,225.0,225.0,225.0,225.0,225.0,328693.0
200.0,200.0,200.0,200.0,200.0,200.0,200.0,4292777.0
28.3269230769,28.3269230769,28.0,28.0,28.0,28.3269230769,28.3269230769,3484500.0
350.0,350.0,350.0,347.777777778,347.317073171,347.317073171,350.0,3933192.0
120.0,120.0,120.0,120.0,120.0,120.0,120.0,328714.0
105.0,105.0,105.0,105.285714286,105.294117647,105.294117647,105.294117647,2819086.0
125.0,125.0,125.0,125.0,125.0,125.0,125.0,853011.0
175.0,175.0,175.0,175.0,175.0,175.0,175.384615385,3605524.0
95.0,95.0,95.0,95.0,95.0,95.0,95.0,263190.0
54.0,54.0,54.0,54.0,54.2307692308,54.2307692308,54.0,4129818.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0,459810.0
65.0,65.0,65.0,65.0,65.0,65.0,65.0,1339033.0
90.0,90.0,90.0,90.0,90.0,90.0,90.0,4785189.0
79.0,79.0,79.0,79.0,79.0,79.0,79.0,1967145.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,1062796.0
245.865384615,245.9375,245.0,246.470588235,245.865384615,245.865384615,245.865384615,4457521.0
75.0,74.8936170213,74.8936170213,74.8936170213,74.8936170213,74.8936170213,75.0,394292.0
75.0,75.0,75.0,75.0,75.0,75.0,75.0,1442899.0
221.621621622,221.621621622,221.621621622,221.621621622,250.0,250.0,220.833333333,2032727.0
300.0,300.0,300.0,300.0,300.0,300.0,300.0,4195416.0
300.0,300.0,300.0,300.0,350.0,350.0,300.0,3605593.0
50.0,50.0,50.0,50.5660377358,75.0961538462,75.0,50.0,2557018.0
140.0,140.0,140.0,140.0,140.0,140.0,140.0,328798.0
190.0,190.0,190.0,190.0,190.0,190.0,190.0,3167761.0
160.0,160.0,160.0,160.0,160.0,160.0,160.0,787567.0
110.0,110.0,110.0,110.0,110.0,110.0,110.0,3605622.0
165.0,165.0,165.0,165.0,165.0,165.0,165.0,3081335.0
67.5,67.5,67.6041666667,67.3469387755,67.6666666667,67.1276595745,68.2222222222,197753.0
800.0,800.0,800.0,800.0,800.0,800.0,800.0,4118037.0
325.0,325.0,325.0,325.943396226,325.961538462,325.961538462,325.961538462,3736710.0
80.0,80.0,80.0,80.0,80.0,80.0,80.0,4457617.0
94.0555555556,93.6111111111,93.2162162162,93.2631578947,93.3783783784,93.3783783784,94.0285714286,66707.0
144.192307692,144.192307692,144.192307692,144.471698113,145.538461538,144.192307692,144.192307692,3081364.0
70.0,70.0,70.0,70.0,85.0,85.0,70.0,656535.0
